fold,model,train_end,test_start,test_end,budget_k,value_at_risk,var_covered_frac,precision_at_k,recall_at_k,lift_at_k,roc_auc,pr_auc,brier_score
2011-06_2011-07,xgboost,2011-05,2011-06,2011-07,0.2,166205.84000000003,0.43535953946760964,0.3545232273838631,0.20110957004160887,1.0050561397678448,0.7775146427811377,0.6136731885125629,0.1808592689076523
2011-06_2011-07,logistic_regression,2011-05,2011-06,2011-07,0.05,81105.20000000001,0.21244694242048517,0.4117647058823529,0.05825242718446602,1.167332952598515,0.7648097303338041,0.5783513771097242,0.18570209414262748
2011-06_2011-07,logistic_regression,2011-05,2011-06,2011-07,0.1,109164.63,0.28594580697616884,0.3284313725490196,0.09292649098474341,0.9310869979059584,0.7648097303338041,0.5783513771097242,0.18570209414262748
2011-06_2011-07,logistic_regression,2011-05,2011-06,2011-07,0.2,153056.85,0.4009170780543151,0.293398533007335,0.1664355062413315,0.8317705984285613,0.7648097303338041,0.5783513771097242,0.18570209414262748
2011-06_2011-07,lightgbm,2011-05,2011-06,2011-07,0.05,71816.62,0.18811643808256268,0.3431372549019608,0.04854368932038835,0.9727774604987626,0.7728311543449249,0.6128389479872571,0.1821465914285651
2011-06_2011-07,lightgbm,2011-05,2011-06,2011-07,0.1,108192.16,0.28339851927950266,0.3480392156862745,0.09847434119278779,0.9866742813630306,0.7728311543449249,0.6128389479872571,0.1821465914285651
2011-06_2011-07,lightgbm,2011-05,2011-06,2011-07,0.2,166686.11,0.43661755859630025,0.3569682151589242,0.20249653259361997,1.011987561421416,0.7728311543449249,0.6128389479872571,0.1821465914285651
2011-08_2011-09,xgboost,2011-07,2011-08,2011-09,0.05,97674.71999999999,0.23483595968164075,0.37719298245614036,0.0631424375917768,1.2639565138985496,0.7407351866170281,0.501275515688993,0.18614548285191246
2011-08_2011-09,xgboost,2011-07,2011-08,2011-09,0.1,140566.75,0.3379597877073953,0.33771929824561403,0.1130690161527166,1.1316819950021897,0.7407351866170281,0.501275515688993,0.18614548285191246
2011-08_2011-09,xgboost,2011-07,2011-08,2011-09,0.2,200474.74,0.4819945013390099,0.3333333333333333,0.22320117474302498,1.1169848262359274,0.7407351866170281,0.501275515688993,0.18614548285191246
2011-08_2011-09,logistic_regression,2011-07,2011-08,2011-09,0.05,84365.03,0.202835931176669,0.30701754385964913,0.0513950073421439,1.0288018136383543,0.7393667320626518,0.49434435704023894,0.1851038886717142
2011-08_2011-09,logistic_regression,2011-07,2011-08,2011-09,0.1,133211.31,0.3202753570657643,0.3333333333333333,0.11160058737151249,1.1169848262359274,0.7393667320626518,0.49434435704023894,0.1851038886717142
2011-08_2011-09,logistic_regression,2011-07,2011-08,2011-09,0.2,203020.86,0.48811604981813145,0.3157894736842105,0.21145374449339208,1.0581961511708786,0.7393667320626518,0.49434435704023894,0.1851038886717142
2011-08_2011-09,lightgbm,2011-07,2011-08,2011-09,0.05,88446.01,0.21264769060368943,0.3508771929824561,0.05873715124816446,1.1757735013009762,0.7435454713051038,0.509046384287538,0.18483899870105314
2011-08_2011-09,lightgbm,2011-07,2011-08,2011-09,0.1,138385.43,0.3327153152832844,0.35526315789473684,0.11894273127753303,1.1904706700672385,0.7435454713051038,0.509046384287538,0.18483899870105314
2011-08_2011-09,lightgbm,2011-07,2011-08,2011-09,0.2,208826.4,0.5020741093587183,0.3530701754385965,0.23641703377386197,1.1831220856841074,0.7435454713051038,0.509046384287538,0.18483899870105314
2011-10_2011-11,xgboost,2011-09,2011-10,2011-11,0.05,241994.97000000003,0.15100828580966363,0.5732484076433121,0.04699738903394256,0.9387503949709799,0.7199690789769119,0.7822900901167955,0.2625987154754964
2011-10_2011-11,xgboost,2011-09,2011-10,2011-11,0.1,380915.79000000004,0.23769684339196723,0.5987261146496815,0.09817232375979112,0.9804726347474679,0.7199690789769119,0.7822900901167955,0.2625987154754964
2011-10_2011-11,xgboost,2011-09,2011-10,2011-11,0.2,586008.4,0.36567753434736133,0.6124401913875598,0.20052219321148826,1.0029307781678263,0.7199690789769119,0.7822900901167955,0.2625987154754964
2011-10_2011-11,logistic_regression,2011-09,2011-10,2011-11,0.05,220453.45,0.13756607249037608,0.5987261146496815,0.04908616187989556,0.9804726347474679,0.7111219455866975,0.7614250415477275,0.2636869337715951
2011-10_2011-11,logistic_regression,2011-09,2011-10,2011-11,0.1,359660.97000000003,0.2244335349298411,0.60828025477707,0.09973890339425587,0.9961184746636509,0.7111219455866975,0.7614250415477275,0.2636869337715951
2011-10_2011-11,logistic_regression,2011-09,2011-10,2011-11,0.2,566515.01,0.3535133831316595,0.5917065390749602,0.19373368146214098,0.9689773924486031,0.7111219455866975,0.7614250415477275,0.2636869337715951
2011-10_2011-11,lightgbm,2011-09,2011-10,2011-11,0.05,229851.15000000002,0.1434303702795139,0.5605095541401274,0.045953002610966055,0.917889275082736,0.7186150546463863,0.7799048216939137,0.26282155024840387
2011-10_2011-11,lightgbm,2011-09,2011-10,2011-11,0.1,367895.82,0.22957219786320582,0.5828025477707006,0.09556135770234987,0.954396234887163,0.7186150546463863,0.7799048216939137,0.26282155024840387
2011-10_2011-11,lightgbm,2011-09,2011-10,2011-11,0.2,580736.47,0.36238777542299794,0.6172248803827751,0.202088772845953,1.0107661748722625,0.7186150546463863,0.7799048216939137,0.26282155024840387
